Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2009-01-02,2009,Norwalk,571060.0,1000000.0,Single Family,Detached House,3,2,,1.025953,South
2009-01-02,2009,Waterbury,55720.0,140000.0,Single Family,Detached House,3,2,910.0,1.025953,South
2009-01-03,2009,Waterbury,68600.0,172000.0,?,Triplex,6,6,2185.0,1.025953,West
2009-01-03,2009,Greenwich,1046920.0,600000.0,Single Family,Detached House,3,3,1068.0,1.025953,South
2009-01-03,2009,Bridgeport,,348000.0,Four Family,Fourplex,8,6,2975.0,1.025953,East
2009-01-04,2009,Norwalk,208880.0,370000.0,Single Family,Detached House,3,2,1063.0,1.025953,South
2009-01-04,2009,Bridgeport,,410000.0,Two Family,Duplex,4,3,1498.0,1.025953,West
2009-01-04,2009,Bridgeport,174930.0,339000.0,?,Duplex,4,4,1250.0,1.025953,West
2009-01-05,2009,Bridgeport,185430.0,334600.0,Two Family,Duplex,4,2,1212.0,1.025953,West
2009-01-08,2009,,38640.0,115000.0,Three Family,Triplex,6,5,2104.0,1.025953,West
2009-01-09,2009,Waterbury,65380.0,225000.0,?,Triplex,6,5,1872.0,1.025953,East
2009-01-09,2009,Waterbury,64680.0,186375.0,Three Family,Triplex,6,4,,1.025953,West
2009-01-10,2009,Waterbury,80850.0,217000.0,Single Family,Detached House,3,2,1098.0,1.025953,West
2009-01-10,2009,Bridgeport,144410.0,350200.0,Two Family,Duplex,4,4,1338.0,1.025953,South
2009-01-12,2009,Fairfield,355040.0,575000.0,?,Detached House,3,2,1025.0,1.025953,West
2009-01-16,2009,,53778.0,145000.0,Single Family,Detached House,3,3,962.0,1.025953,East
2009-01-16,2009,Norwalk,212240.0,437000.0,Single Family,Detached House,3,3,967.0,1.025953,West
2009-01-17,2009,Bridgeport,109340.0,300000.0,Four Family,Fourplex,8,7,2783.0,1.025953,North
2009-01-17,2009,Waterbury,,265000.0,Three Family,Triplex,6,5,1892.0,1.025953,South
2009-01-17,2009,Bridgeport,,75000.0,Single Family,Detached House,3,3,977.0,1.025953,West
2009-01-17,2009,Fairfield,850850.0,1115000.0,?,Detached House,3,3,1009.0,1.025953,South
2009-01-18,2009,Waterbury,85610.0,195000.0,Single Family,Detached House,3,2,1016.0,1.025953,South
2009-01-18,2009,Greenwich,2567390.0,3550000.0,Single Family,Detached House,3,2,,1.025953,North
2009-01-18,2009,,514220.0,600000.0,Single Family,Detached House,3,1,923.0,1.025953,North
2009-01-19,2009,,257600.0,450000.0,Single Family,Detached House,3,1,,1.025953,East
2009-01-19,2009,Norwalk,324310.0,528000.0,?,Detached House,3,1,1061.0,1.025953,West
2009-01-19,2009,Fairfield,,185250.0,Single Family,Detached House,3,3,1023.0,1.025953,East
2009-01-19,2009,Fairfield,252070.0,295000.0,Single Family,Detached House,3,1,1011.0,1.025953,South
2009-01-22,2009,Bridgeport,95289.0,195000.0,Single Family,Detached House,3,3,962.0,1.025953,North
2009-01-22,2009,Waterbury,61040.0,148000.0,?,Detached House,3,3,1053.0,1.025953,South
2009-01-22,2009,Waterbury,103400.0,309000.0,Single Family,Detached House,3,3,938.0,1.025953,North
2009-01-22,2009,Waterbury,99540.0,279000.0,Single Family,Detached House,3,1,962.0,1.025953,South
2009-01-22,2009,Waterbury,,240000.0,Single Family,Detached House,3,2,1041.0,1.025953,West
2009-01-23,2009,,,75000.0,?,Detached House,3,3,984.0,1.025953,East
2009-01-23,2009,Waterbury,70000.0,152000.0,Single Family,Detached House,3,3,982.0,1.025953,East
2009-01-23,2009,Bridgeport,105560.0,224500.0,Single Family,Detached House,3,1,1062.0,1.025953,East
2009-01-23,2009,Fairfield,545860.0,720000.0,Single Family,Detached House,3,2,1056.0,1.025953,East
2009-01-23,2009,Fairfield,341040.0,502500.0,Single Family,Detached House,3,1,,1.025953,North
2009-01-24,2009,Waterbury,82950.0,185000.0,Single Family,Detached House,3,1,1077.0,1.025953,East
2009-01-24,2009,Greenwich,840840.0,1050000.0,Single Family,Detached House,3,1,939.0,1.025953,South
2009-01-25,2009,Bridgeport,136151.0,269900.0,?,Detached House,3,2,,1.025953,West
2009-01-25,2009,,182280.0,353250.0,Single Family,Detached House,3,2,1007.0,1.025953,East
2009-01-25,2009,Greenwich,1211210.0,1730000.0,Single Family,Detached House,3,3,940.0,1.025953,East
2009-01-26,2009,Norwalk,306250.0,600000.0,?,Detached House,3,1,1087.0,1.025953,West
2009-01-26,2009,,1627570.0,2975000.0,Single Family,Detached House,3,3,980.0,1.025953,North
2009-01-26,2009,Bridgeport,97720.0,57900.0,Two Family,Duplex,4,2,1470.0,1.025953,East
